Please state the name of the partner:,What sector does your partner belong to?,Please provide a brief description of the partnership.,Is this a new and unusual partner for UNDP?,iso3,country
Collective intelligence,Civil Society,"Direct on-boarding and engagement with the general public, has not been a practice in the way our organization. With our CI pilot, we focused on creating an informal group of enthusiasts that would deploy CI tools",Yes,MKD,North Macedonia
EcoHouse,Civil Society,"They collaborate with field trips. Thanks to their intervention, we were able to get in touch with new young climate activists. Moreover, in light of the relationship built in this learning cycle, we introduced them to the project leaders of the Renewable Energy Solutions Mapping, and they have already established partnerships with other environmental organizations who were unfamiliar with each other’s work. EcoHouse and the Lab are also considering the possibility of replicating the citizen science experience in the schools of another city.",Yes,ARG,Argentina
The provincial divisions of planning,Government (&amp;related),"n/a

",No,COD,Democratic Republic of the Congo
Farmers of Yotokope,Private Sector,Provide insights about typical farmers' needs and wants and guided the design of the prototype giving valuable feedback at each step,No,TGO,Togo
Farmers,Private Sector,Their active involvement ensures the solution is tailored to address their specific needs and challenges.,No,TGO,Togo
Department of Science and Technology (DOST) Grassroots Innovation for Inclusive Development (GRIND) Program,Government (&amp;related),"The GRIND Programme sits in the DOST Davao Regional Office where the agency's forays into grassroots innovations began. DOST-GRIND and ALab Ph has already scheduled a retrospective exercise in January 2024 to take stock of gains to build on and issues to address moving forward in nurturing grassroots innovations in CE and beyond. These issues include financing for grassroots innovators who tend to be informal entrepreneurs, intellectual property protection, scaling national and local government support to such innovators, and the operational capacity of both DOST and UNDP to provide support to innovators (directly or via intermediaries).   ",Yes,PHL,Philippines
"Informal Worker Association (Motorbiker, Photographer, Street vendors, Dry fish seller, Horse)",Private Sector,Informal workers' Associations - want to learn and want to contirbute - a major stakeholder of the initiative,Yes,BGD,Bangladesh
INAPEM - Small and medium enterprise institute,Government (&amp;related),INAPEM is supporting Cooperative Weza where the training is delivered.,No,AGO,Angola
70+ employers (more than 95% is private sector),Private Sector,We worked with the Ministry of Labor and Social Welfare and 108 Jobs (one of the leading employment services providers in Lao PDR) to co-design and co-create a new type of job fair.,Yes,LAO,Laos
"Diving Associations (CAPMA) Dominica,",Private Sector,"Diving Associations (CAPMA) Dominica, - &gt; Helping to structure the underwater experiment in an area which is being affected by both hurricanes and water temperatures.",Yes,BRB,Barbados
Brunello,Private Sector,This is a private international organization who is financially supporting this activity.,Yes,MLI,Mali
IME,Academia,The Women and Entrepreneurship Institute (IME) provided information for the gender gap evidence-based map from its research ,No,BOL,Bolivia
Zambia Revenue Authority,Government (&amp;related),"The Associations were able to facilitate access to their membership and participated in the CI workshop. The Zambia Revenue Authority provided information. We worked with AccLab Namibia on the design of the CI workshop and shared proof of concept on the same portfolio with partners, we continue to partner to design the cross border experiment.",No,ZMB,Zambia
National University of Itapua,Academia,"For the experiment of Public Goods, we invited students at the National University of Itapua to volunteer in facilitating the training and the game with the school students that participated. The volunteers had training first themselves, to better comprehend the game and its dynamics, and to apply it then with the students.  ",No,PRY,Paraguay
"Chambers of Commerce and Business Associations: AMES, AJEC, AECV",Private Sector,"Outreach support near their members and associates.

",No,CPV,Cape Verde
GIS specialist (UNDP HQ/BMS/ITM),United Nations,"Through a cost-recovery collaboration, we jointly developed a proof-of-concept, including the integration of new geolocated data, the development and testing of a data analysis method, the deployment of a dashboard for visualizing results, and the delivery to key institutional stakeholders.",Yes,GTM,Guatemala
Viamo,Private Sector,"Design and Implementation partner

",Yes,SDN,Sudan
National Innovation Strategy (ENI),Government (&amp;related),"The National Innovation Strategy serves as one of the main organizers of the Public Innovators Program, where the Acceleration Laboratory provides technical support and mentoring.",Yes,PRY,Paraguay
"Private Lead Companies: Narella, High Low, Pilar, IRE, GIMSA",Private Sector,"These five companies are taking up the role of becoming the “Lead Companies” that will contribute to the process of developing their “suppliers”, the small garment workshops that we have selected in the three clusters. Lead companies provide a sustained demand for products from their suppliers, while continuous improvements are being implemented.

Each company also participates, to some degree, in this process of implementing improvements, providing technical expertise or anchoring training programs to specific products they demand, although in our case, most of the improvements that were finally designed for the programs are not anchored to specific products from these companies.",Yes,PRY,Paraguay
Media outlets,Civil Society,"Collaborating with media outlets committed to highlighting the Women in STEM initiative in Serbia was and will be crucial for increasing awareness about the significance of women in STEM and addressing gender disparities. By leveraging media platforms, we can amplify our message, reaching a wider audience and inspiring more girls to pursue STEM education and careers.",No,SRB,Serbia
Osh Mayor's Office (city administration),Government (&amp;related),"co-creation and co-implementation of the Innovation Challenge ""Open Osh""",No,KGZ,Kyrgyzstan
"Center for Food Technology and Research (CEFTER), Benue State University",Academia,"CEFTER provided technical support, lending expertise in hydrology and climatology and giving support on mapping engagements during the experiment.",Yes,NGA,Nigeria
Toktogul Satylganov local museum,Government (&amp;related),facilitation of the partnership platform,Yes,KGZ,Kyrgyzstan
Osh Art Museum,Government (&amp;related),Key facilitator of the activities on the ground ,Yes,KGZ,Kyrgyzstan
Zero Extreme Poverty (ZEP) 2030 Philippines,Civil Society,ZEP2030 PH is a coalition of more than 140 non-government entities—including the biggest civil society federations in the Philippines—aimed at converging their efforts to lift millions from poverty. ALab PH has been collaborating with ZEP2030 PH as a coalition and with its individual members to accelerate the nurturing of local convergences or multi-stakeholder networks.,No,PHL,Philippines
Pwani University,Academia,The partnership involved diverse disciplines from the institution supporting the co-design process and field testing. From this we have had research interests spring up and research papers that will be published in the coming year.,Yes,KEN,Kenya
Hatay Metropolitan Municipality,Government (&amp;related),HMM- collaboration for field applications,Yes,TUR,Turkey
"Blue Waste to Value, Kleanit Upcyclers",Private Sector,start up and private sector to enhance waste enterprises and local green jobs,Yes,NPL,Nepal
Municipality of Camiri,Government (&amp;related),"Camiri is the municipality to which Kaami belongs, with the Autonomous Municipal Government of Camiri (AMGC) serving as the local governing body. The Municipal Territorial Development Plan (PTDI), functioning as the municipal tool for planning. It must incorporate the essential insights from the indigenous life plan to secure financing for this plan implementation.",Yes,BOL,Bolivia
Local government agencies,Government (&amp;related),"To explore how governments approach innovations related to renewable energy, we maintain contact with a local public agency for innovation and entrepreneurship (Córdoba Agency Innovate and Entrepreneurship). Also, we had an exploratory meeting with the Ministry of Science and Technology of Córdoba.  ",Yes,ARG,Argentina
Nusantara Capital City Authority,Government (&amp;related),"The Nusantara Capital City Authority (OIKN) is a cabinet-level agency formed by the Government of Indonesia that works directly under the President. The agency is tasked with managing and governing the city of Nusantara, the future capital located in East Kalimantan. UNDP is currently maintaining active communication with OIKN to update project progress and gain feedback along the way. They have been involved with the planning of the foresight workshop as well as the report-writing process.",Yes,IDN,Indonesia
Representatives from Universities,Academia,Representatives from Universities and Gender Equality Research Center in Fergana were involved in workshops in regions. Representatives of the Westminster University in Tashkent joined as a member of the NEG.  ,No,UZB,Uzbekistan
"Argentine Ministry of Science, Technology, and Innovation; Ministry of Education of the Government of the City of Buenos Aires; local governments of Quilmes, San Antonio de Areco, Mercedes and Balcarce.",Government (&amp;related),"The citizen science solutions mapping was co-created with the Argentine Ministry of Science, Technology, and Innovation (MINCYT). Along the way, we built and iterated our mapping cards where we included descriptions of the initiatives, the purpose of which is to systematize the information collected and enable comparisons. All the information was validated by the leaders of each of the initiatives. On October 2022, the MINCYT created a National Citizen Science Program.  

Among other activities carried out throughout 2023, the AccLab is part of the Advisory Committee for the National Citizen Science Program and co-coordinated the evaluation of grants for projects in that program. 

We partnered with the Ministry of Education of the Government of the City of Buenos Aires to promote the establishment of the 'Citizen Science in Schools Program' along with the Center for Research on the Sea and the Atmosphere (CIMA-CONICET-UBA), Institute of Physical Chemistry of Materials, Environment, and Energy (INQUIMAE-CONICET-UBA), and the Department of Physics-Exact Sciences at the University of Buenos Aires. This program deploys three citizen science projects in 57 schools, involving more than 100 teachers and 1,000 students to measure the city's air quality using passive tubes installed in strategically located schools; monitor, forecast, and generate weather alerts related to hydro-meteorological events; and map the Earth's magnetic field using a mobile application. 

The experiments were conducted in and with the support of the municipal governments of Quilmes, San Antonio de Areco, Mercedes and Balcarce. Lastly, we will present the report with the results of the experiment along with the Argentine Network of Municipalities against Climate Change which gathers 286 local governments, highlighting the innovative quality of this approach and how useful cities found it",Yes,ARG,Argentina
"Citibeats, Humai, and MultiplAI",Private Sector,"Together with Citibeats, a social listening company, we conducted a study regarding what people in the country are thinking and saying in social media about AI. Humai (a learning platform) and MultiplAI Health (a startup that uses AI for health diagnoses) are private partners that we invited to take part in the seminar we organized to discuss the impact of AI on development. For the rest of the cycle, we hope to engage in conversations with other private partners, Eryx (software company) and Stämm (biotechnology company), to promote a greater reach of our portfolio of actions regarding AI.",Yes,ARG,Argentina
"IFIs (there is not appropriate sector for this partner, so we selected UN)",United Nations,"IFIs: Securing direct loans by IFIs is unlikely. It is important to note that the prospect of direct investments from International Financial Institutions (IFIs) is slim. This is due to their high minimum investment sizes. These  are beyond the typical budget range of projects facilitated through the UNDP accelerator program. As it stands, such high thresholds also disqualify projects undertaken by large corporations.",No,SRB,Serbia
Ministry of Higher Education and Scientific Research,Government (&amp;related),Ministry of Higher Education and Scientific Research,No,IRQ,Iraq
USAID,Government (&amp;related),Actively participating in the Platform Sessions.,Yes,AGO,Angola
Canaan Fair Trade,Private Sector,Canaan is social enterprise in the agribusiness field whose mission is to preserve our human heritage of nurturing the land to provide a sustainable food source for centuries to come. The Accelerator Lab collaborated with Canaan in the design and the implementation of the Chef's immersive experience mentioned above. ,Yes,PSX,Palestine
PedidosYa,Private Sector,We have worked closely together in designing a product of delivery service for San Felipe Neri market vendors to enter its digital market.,Yes,PAN,Panama
Municipio de Panama,Government (&amp;related),"Support with data, technical validation of products, interviews",No,PAN,Panama
Local communities in Sukhothai and Suphan Buri provinces,Civil Society,Pilot communities,Yes,THA,Thailand
Malay College,Academia,"Malay College is a newly-established local (community) college that currently offers three bachelor’s programs in Tourism, Hospitality, and Entrepreneurship (expected first batch of graduates by 2025) and is in the process of approving additional program offers. The College is open to research placements for the Multi-Stakeholder Group.",Yes,PHL,Philippines
Secretaría de Ambiente,Government (&amp;related),"La Secretaría de Ambiente fue la primera institución en formar parte del programa de formación con seis de sus funcionarios (cada uno de áreas y niveles diferentes a la interna de la institución), quienes se capacitaron en el programa de 25 horas. ",No,ECU,Ecuador
"Government: 
- Minsitry of social development 
- Ministry of education 
- Uruguayan agency for international cooperation,
- The planning and budget office",Government (&amp;related),Co-payers in the social impact bond ,No,URY,Uruguay
ESWADE,Private Sector,n/A,No,SWZ,Eswatini
Ernest Bai Koroma University,Academia,Signed MOU between universities and undp for the setting up of a fab lab. ,Yes,SLE,Sierra Leone
Hotel and Restaurants Association:,Private Sector,"has been key collaborator in providing insights about the industry 

",No,DOM,Dominican Republic
Chemical High School Maria Skłodowska-Curie,Academia,The biohacking laboratory is situated within the premises of the school ,Yes,MKD,North Macedonia
UN Habitat,United Nations,They were key partners because they are responsible for the urban spaces mandate of the UN in the country. ,No,GNB,Guinea-Bissau
Donors including Japan and the EU-GEPP Consortium,Government (&amp;related),"The ACE Project was implemented through the generous support of the Japanese government, which has not only provided funding but also facilitated learning exchanges for local government champions to Japan. Japan has also supported ALab PH’s efforts to explore remote sensing-based innovations to strengthen waste management monitoring, and the lab and Japan Unit are in talks on how such efforts can be pursued. The UNDP CE portfolio team will also define how collaboration with the other EU GEPP agencies (GIZ, Expertise France, and IFC) on specific areas of the CE work (may include national policy particularly green public procurement and EPR implementation, support to entrepreneurs and innovators, and financing).   ",No,PHL,Philippines
Africell,Private Sector,Delivering Internet connection for the training.,Yes,AGO,Angola
IES Foundation,Civil Society,IES helped to find data for the evidence-based map,Yes,BOL,Bolivia
Zambia Chamber of Commerce and Industry,Private Sector,"The Associations were able to facilitate access to their membership and participated in the CI workshop. The Zambia Revenue Authority provided information. We worked with AccLab Namibia on the design of the CI workshop and shared proof of concept on the same portfolio with partners, we continue to partner to design the cross border experiment.",No,ZMB,Zambia
Mentu,Private Sector,"Mentu was hired to implement the Tavarandu project in its second edition. Based on the lesson learned from the first edition in 2022, and working closely with the AccLab, Mentu designed the syllabus for the training, implemented the trainings to the local government, designed the toolkits for the Citizen Laboratories and help the local group from the local government to facilitate and implement the activities with the citizens.  ",No,PRY,Paraguay
Ministry of Women's Affairs (MM),Government (&amp;related),The Ministry of Women's Affairs team was one of the teams selected under the Public Innovators Program to develop its pilot with technical and financial support from UNDP.,No,PRY,Paraguay
"Garment workshops associations and Commerce, industry, and other businesses guilds, including: (1) Chamber of Commerce, Industry and Services of Ñeembucu, (2) Chamber of Commerce, Industry and Services of Encarnación, (3) Chamber of Commerce and Industry of San Lorenzo.",United Nations,"To implement the “associativity” component of the work in garment workshop clusters, we established alliances with three different associations of garment workshops: (1) The Association of Clothes Manufacturers of Yaguaron, (2) Pre-Cooperative of Associative Work Ñeembucu, and (3) Association of Textile Artisans of Ñeembucu. Through these associations, we are expanding the training offer from the improvement programs to other workshops, while advising its members in ways to improve how they make better use of associativity and collective action.

Entrepreneur Support Centers (CAE) have a governance model where there is a multi-sectorial board of representatives with local territorial presence: there is one representative from the academia, usually the most relevant local public university; one representative from the local government, and one representative from the private sector, usually, chambers of commerce. The guilds we mention here are all related to the three different CAE that we have supported or collaborated with throughout this year. Their involvement in the activities is still incipient, but they are key contacts to the local private sector ecosystems.",Yes,PRY,Paraguay
Benue Agri-business Innovation Hub (BAI Hub),Government (&amp;related),"BAI Hub provided technical support, giving field support surveys and mapping exercises. ",Yes,NGA,Nigeria
Head of Toktogul district administration (Jalal-Abad region),Government (&amp;related),launch of the platform in the rural area - support in assessing potential of the tourist destination Toktogul,No,KGZ,Kyrgyzstan
Local Convergences,Civil Society,ALab PH has collaborated with 15 local convergences or multi-stakeholder networks to introduce AAA governance-inspired methodologies for participatory planning for post-COVID recovery in 2022. ALab PH is currently checking in on these local convergences to gather insight for the envisaged AAA local government support programme.,Yes,PHL,Philippines
Vox Radio,Civil Society,"Vox Radio is a community radio station and was useful in communicating our work in their radio shows. Community needs picked during co-design sessions, fieldwork and feedback from stakeholders informed their programming. ",Yes,KEN,Kenya
NGO Natura,Civil Society,"Natura is an NGO operating in the Chaco region of Bolivia. Its technicians played a crucial role in facilitating workshops with indigenous authorities to formulate their life plan. Their specific role centered on presenting evidence derived from scientific information and field experience, thereby fostering an informed deliberation process",No,BOL,Bolivia
UNDP,United Nations,"We use an organic approach to work alongside different areas within UNDP to allow the interaction between the program areas in general and the media, the private sector, and the environment cluster",No,ARG,Argentina
The Senate of Oliy Majlis (Parliament) of the Republic of Uzbekistan,Government (&amp;related),"The Senate of Oliy Majlis (Parliament) of the Republic of Uzbekistan. Committee on Women and Gender Equality of the Senate of the Oliy Majlis of the Republic of Uzbekistan - key partner and coordinating government body for implementation of the National Gender Strategy (NGS) until 2030. Ministries, the main responsible for the target indicators of the NGS.",No,UZB,Uzbekistan
UNDP,United Nations,"In 2023, we used an organic approach to work alongside different areas within UNDP to allow the interaction between the program areas in general and the media, the private sector, and the environment cluster.",Yes,ARG,Argentina
Subsecretary of Public Innovation,Government (&amp;related),"We maintained conversations with the Subsecretary of Public Innovation responsible for some of the preliminary regulations on AI in the country. Beyond this contact, we intend to approach the new national authorities. The country celebrated national elections at the end of 2023 and a new government has been elected. Once it becomes clear what the next administration will dictate regarding AI, we plan to approach the new authorities to share our work, hoping to engage them in our challenge",Yes,ARG,Argentina
KAPITA,Private Sector,"KAPITA is a private sector development company that aims toempower small and medium-sized enterprises (SMEs) and largecorporations through investment, research, incubation/acceleration,and market development programs.",Yes,IRQ,Iraq
French Development Agency Groupe / Expertise France,Government (&amp;related),Actively participating in the Platform Sessions.,No,AGO,Angola
Aggregators in the Handicrafts Sector,Private Sector,The AccLab  exposed aggregators in the handicrafts to new sustainable markets and buyers who value ethical products from Palestine. Aggregators were also introduced through the House of Crafts to under the radar artisans and products with immense potential in the global markets.  The aggregators are building on the intelligence and learning generated by the House of Crafts to change their way of doing business. ,Yes,PSX,Palestine
Fundación Rescate de Alimentos,Civil Society,to develop the proof of concept for the recovery of food waste from the market for circularity initiatives and other associated events.,Yes,PAN,Panama
Asociacion de vecinos de Juan Diaz,Civil Society,"Community convocation, physical spaces for focus groups, divulgation of information",Yes,PAN,Panama
Chula Universal Design Center,Academia,Resource person on universal design,Yes,THA,Thailand
Boracay Women Producers Cooperative,Civil Society,"The Boracay Women Producer's Cooperative is the civil society representative to the Multi-Stakeholder Group. CSOs, farmer's groups, and cooperatives have been involved in co-creation for the Food Systems Innovations. Their local knowledge helps align the project with experiences on the ground.",Yes,PHL,Philippines
Universidade Lusofuna,Academia,they were partners who proposed the new design of the public space in question which was due to be picked up and used a blueprint. ,No,GNB,Guinea-Bissau
Various social innovators and enterprises in CE,Private Sector,"As previously mentioned, the UNDP CE portfolio team has tapped various players in the innovation ecosystem to help it implement various components of the portfolio, first under the ACE Project and moving forward under EU GEPP. The team will be exploring how to best tap into these resources while reducing administrative friction through strategies such as rosters and long-term agreements.",Yes,PHL,Philippines
Ministry of the Presidence,Government (&amp;related),"

The government is awaiting the results of the initiative for decision-making.
",Yes,BOL,Bolivia
AccLab Namibia,United Nations,"The Associations were able to facilitate access to their membership and participated in the CI workshop. The Zambia Revenue Authority provided information. We worked with AccLab Namibia on the design of the CI workshop and shared proof of concept on the same portfolio with partners, we continue to partner to design the cross border experiment.",No,ZMB,Zambia
Ministry of Economy - Non-contributory Pensions Directorate,Government (&amp;related),The team of the Directorate of Non-Contributory Pensions (DNCP) was one of the teams selected within the framework of the Public Innovators Program to develop its pilot project with technical support from UNDP and financial support from the IDB. The team has a long-standing working relationship with the country office.,No,PRY,Paraguay
"Academia partners: (1) National University of Pilar (UNP), particularly, its Economic and Administrative Sciences School, (2) National University of Itapúa (UNI), particularly, its Business Incubator INCUNI, (3) University San Lorenzo.",Academia,"As part or the governance of Entrepreneur Support Centers (CAE), we have also collaborated closely with universities or academia partners that are part of these centers. Of particular relevance, UNP and UNI, who have both provided places for activities, or students, or otherwise time from professors to collaborate with our activities, such as workshops to socialize key results and learnings.",Yes,PRY,Paraguay
OGP Support Unit,Government (&amp;related),"As UNDP PH seeks to strengthen its engagement in open governance as part of the AAA local governance programme, it has increased its collaboration in recent years with the OGP Support Unit—the global and regional body that is helping to steer the OGP—to harmonize and converge their support to DBM, DILG, and civil society organizations.  ",Yes,PHL,Philippines
SunCulture,Private Sector,"SunCulture equips farmers with precision irrigation solutions. Insights gained from collaborating with the private sector (SunCulture) during the co-design sessions explored ways the water resource map could enhance livelihoods and economic prospects in arid and semi-arid lands (ASALs). Investments in off-grid solar technology for various water sources emerged as a promising avenue, offering improved community access to reliable water, irrigation, lighting, and mobile charging, thereby generating employment and fostering economic growth.",Yes,KEN,Kenya
"UNDP, and Office of the Secretary-General's Envoy on Technology",United Nations,"In our cycle, we have made sure to include instances open to feedback from other areas within UNDP Argentina. For example, the code books fields used for the AI were created in collaboration between the Co_Lab and the program area of UNDP. Also, the outputs of the generative AI have been open to the consideration of the other UNDP areas. Additionally, we responded to the open call to present nominees to the High Advisory Body on Artificial Intelligence launched by the Office of the Secretary-General's Envoy on Technology. We were able to submit nominations for five experts from Argentina",No,ARG,Argentina
JICA,Government (&amp;related),Actively participating in the Platform Sessions.,No,AGO,Angola
Ministry of Environment (MiAmbiente),Government (&amp;related),"One of the main adopters of initiatives, methods and tools from the Lab. In particular with the solutions mapping platform and the use of it in the development of the National Plastics Action Platform and the design of the route-map for its initiation in Panama, together with UNDP &amp; WEF.",No,PAN,Panama
Camara Panamena de la Construccion (CAPAC),Private Sector,"Participation in focus groups, convocation of private sector construction leaders",Yes,PAN,Panama
Department of Agriculture- Regional Field Office (DA-RFO) VI,Government (&amp;related),"This is the regional field office of the national Department (Ministry) of Agriculture, with jurisdiction over Malay, Aklan. The DA-RFO VI can link local governments with necessary policy, program, and capacity support in line with national priorities, in addition to exercising oversight.",Yes,PHL,Philippines
